claim_id,hypothesis,exact_claim,verdict,evidence_grade,claim_layer,primary_evidence,comparison_fairness,valid_scope,major_confounders_or_limits,contrary_or_narrowing_evidence,allowed_wording,forbidden_wording
"C11A","H3","在已测4/10/25/50/100-step网格中，25-step是DiffJSCC相对S33保持显著LPIPS优势的最低已测点。","QUALIFIED","B","MEASUREMENT","reports/s34d_generative_inference_cost_result_2026-07-23.md","同320个冻结键；LPIPS差与source-cluster CI按同一合同计算。","当前checkpoint、sampler和离散步数网格。","未测试5-9、11-24等步数，不能证明24-step必失败或25-step是连续域最小值。","10-step LPIPS差CI跨0；4-step显著更差；25-step显著有利。","25-step是已测网格的最低LPIPS PASS点。","25-step是理论或所有sampler的绝对最低点。"
"C11B","H3","DiffJSCC 25-step相对common-runtime S33为165.1× wall latency和472× profiler已支持算子的FLOPs下界。","QUALIFIED","C","MEASUREMENT","reports/s34d_generative_inference_cost_result_2026-07-23.md","同RTX4090D、PyTorch2.1、batch1；主存RGB到主存重建；排除加载/I/O/指标并包含完整方法组件。","当前checkpoint、实现、硬件和runtime。","FLOPs只覆盖profiler支持算子；不是跨硬件定律，也不是未来生成式JSCC常数。","S33=8.833ms；DiffJSCC-25=1458.5ms；已计FLOPs 0.05693T vs 26.877T。","现有DiffJSCC 25-step点在该共同运行时为165.1× latency/472×已计FLOPs下界。","diffusion天生或所有未来生成式方法必慢165×/耗472×。"
"C11C","H3","DiffJSCC 25-step不是已建立的semantic-safe点：failure为14/320，而S33为4/320，差值CI全正。","QUALIFIED","B","LOCAL_CONCLUSION","reports/s34d_generative_inference_cost_result_2026-07-23.md","同320键；post-hoc source-cluster CI；failure定义一致。","当前checkpoint、25-step和冻结代理failure。","语义指标是代理；50-step差CI跨0但未正式证明非劣。","25-step差+3.125pp，CI=[+0.625,+6.563]pp。","25-step感知PASS不等于可靠性PASS。","25-step已证明semantic-safe，或该结果证明所有生成式方法都不安全。"
"C12","H3","低SNR审计未在15个定向样本中观察到clear-wrong，但不能证明无hallucination。","QUALIFIED","D","LOCAL_CONCLUSION","reports/low_snr_semantic_drift_visual_audit_2026-07-23.md","固定15 source后人工逐图对照；1dB及-3/-5dB均报告三分标签；不作排名。","15个异常定向source；-3/-5dB是范围外压力。","样本小、选择性抽样、人工判断；SGD有额外edge/perfect captions。","S33主要显式模糊/噪声崩坏；两方法clear-wrong均0。","本批未观察到clear-wrong。","SGD没有hallucination风险或SGD公平胜S33。"
"C13","H4","RDD-P0 支持重建输出存在可识别的实现/分布指纹。","QUALIFIED","B","LOCAL_CONCLUSION","reports/rdd_p0_distribution_shift_result_2026-07-30.md","按source GroupKFold防认图；四臂准确率83.96% CI远超25%；三臂90.59%远超33.3%；冻结既有输出。","256² Imagenette policy-dev；每方法960重建；CLIC仅判别式补充。","每单元n=192且FID秩亏；方向对分辨率敏感。","CLIC-428上偏向blur消失并转为JPEG/real。","方法输出有可识别高频/分布指纹。","已证明生成先验导致deception。"
"C14","H4","RDD指纹由各自生成先验定向造成。","REFUTED","A","CAUSAL","reports/rdd_p0_distribution_shift_result_2026-07-30.md","C3是预注册反证对照；两无生成先验判别式臂仍86.93%可分。","当前代理和总体。","两个VAE代理不可充分区分；缺同实现不同先验/同先验不同实现。","SGD用DiT却常更接近vae_sd21；跨分辨率方向变化。","现有证据反驳把可识别指纹特有地归因于生成先验；更细的先验因果效应仍未建立。","现有方法已证明由生成先验定向造成deception。"
"C15A","H5","AWGN当前合同几乎没有同图跨realization条件尾部。","QUALIFIED","B","MEASUREMENT","reports/cvar_p0_tail_risk_result_2026-07-31.md; outputs/analysis/ANALYSIS-CVAR-P0-TAIL-RISK-001/diagnostic_summary.csv; outputs/analysis/ANALYSIS-CVAR-P0-TAIL-RISK-001/variance_decomposition.csv","同checkpoint/图；每图64 realizations；AWGN control与既有路径逐元素相等。","单backbone、CBR1/24、五档AWGN。","只覆盖当前模型与合同，不证明所有AWGN JSCC都无尾部。","median−p10五档0.114/0.091/0.067/0.036/0.018dB；信道方差占比最高0.001111；CVaR-10/mean MSE最高约1.033。","AWGN当前合同无明显CVaR优化对象。","AWGN一般不存在尾部风险。"
"C15B","H5","未匹配Rayleigh P0下存在显著同图跨realization尾部。","SUPPORTED","B","MEASUREMENT","reports/cvar_p0_tail_risk_result_2026-07-31.md; outputs/analysis/ANALYSIS-CVAR-P0-TAIL-RISK-001/diagnostic_summary.csv","同checkpoint/图/realization；四个配对arm；block fading+ZF。","S33从未在Rayleigh训练的P0诊断。","大尾部与train/test信道错配及条件OOD同时存在。","tail-blind主arm在1dB的median−p10=10.057dB、CVaR-10/mean MSE=5.67、outage(<24dB)=0.353。","失配Rayleigh P0观测到大尾部。","该尾部证明均值目标必然掩盖风险。"
"C15C","H5","P0不能把Rayleigh尾部归因于均值训练目标；其主要混有train/test信道错配和decoder条件OOD。","QUALIFIED","B","CAUSAL","reports/cvar_p0_tail_risk_result_2026-07-31.md","nominal/effective/effective-clamped CSI arms共享encoder前向、噪声和realization并逐项配对。","纯AWGN训练模型在block-fading Rayleigh+ZF上的P0。","P0归因gate有预注册数值化和跨档口径缺陷；没有matched mean control。","真实有效SNR条件在五档全面变差，深衰落有效SNR远低于[1,19]dB训练域。","P0建立了尾部存在性，但没有建立均值目标是尾部原因。","P0已证明CVaR训练必要，或Rayleigh尾部由均值目标导致。"
"C16A","H5","同一rayleigh_effective_csi arm的median−p10从P0到P1在五档全部下降：7.975/7.325/5.143/2.719/2.729→4.175/3.993/3.660/2.336/0.952 dB。","SUPPORTED","A","MEASUREMENT","reports/cvar_p1_rayleigh_matched_result_2026-07-31.md; outputs/analysis/ANALYSIS-CVAR-P0-TAIL-RISK-001/diagnostic_summary.csv; outputs/analysis/ANALYSIS-CVAR-P1-MATCHED-TAIL-RISK-001/diagnostic_summary.csv","同图、同realization key、同arm、同五档SNR；P1为Rayleigh matched pure-MSE continuation。","单continuation recipe、单主seed；独立seed复现项目判定。","该下降主要是消除训练分布错配，不是CVaR方法贡献；无语义指标。","五档均下降，但仍有残余尾部。","匹配均值训练后median−p10在5/5档下降，数值如列。","用模糊多数措辞概括尾部变化，或把下降归功于CVaR训练。"
"C16B","H5","同一arm的CVaR-10/mean MSE从P0到P1在五档全部下降：4.527/4.939/4.747/2.917/2.225→3.513/3.487/3.294/2.655/1.839；绝对CVaR-10 MSE为0.07476/0.05072/0.03302/0.01306/0.00863→0.01474/0.01045/0.00734/0.00370/0.00196。","SUPPORTED","A","MEASUREMENT","reports/cvar_p1_rayleigh_matched_result_2026-07-31.md; outputs/analysis/ANALYSIS-CVAR-P0-TAIL-RISK-001/diagnostic_summary.csv; outputs/analysis/ANALYSIS-CVAR-P1-MATCHED-TAIL-RISK-001/diagnostic_summary.csv","同图、同realization key、同arm、同五档SNR。","单matched-mean continuation recipe和预算。","比值下降不等于尾部消失；P1没有训练CVaR损失。","绝对CVaR下降约4.4-5.1×，但CVaR/mean仍大于1。","匹配均值训练后CVaR-10/mean MSE在5/5档下降，绝对CVaR亦下降。","CVaR模型带来4.4-5.1×改善，或尾部已消失。"
"C16C","H5","同一arm的outage(<24dB)从P0到P1在五档全部下降：0.631/0.488/0.401/0.368/0.343→0.292/0.173/0.110/0.041/0.021。","SUPPORTED","A","MEASUREMENT","reports/cvar_p1_rayleigh_matched_result_2026-07-31.md; outputs/analysis/ANALYSIS-CVAR-P0-TAIL-RISK-001/diagnostic_summary.csv; outputs/analysis/ANALYSIS-CVAR-P1-MATCHED-TAIL-RISK-001/diagnostic_summary.csv","同图、同realization key、同arm、固定24dB阈值。","当前五档、单backbone和Rayleigh block-fading合同。","24dB是固定诊断阈值，不代表通用业务outage定义。","五档均下降但1dB仍有0.292 outage。","匹配均值训练后24dB outage在5/5档下降。","outage已被消除或所有阈值均同样改善。"
"C16D","H5","同一arm的channel variance fraction从P0到P1在五档全部下降：0.841/0.790/0.717/0.601/0.575→0.546/0.500/0.445/0.286/0.115。","SUPPORTED","A","MEASUREMENT","reports/cvar_p1_rayleigh_matched_result_2026-07-31.md; outputs/analysis/ANALYSIS-CVAR-P0-TAIL-RISK-001/variance_decomposition.csv; outputs/analysis/ANALYSIS-CVAR-P1-MATCHED-TAIL-RISK-001/variance_decomposition.csv","同arm、同五档；方差分解口径一致。","当前200图×64 realizations和单backbone。","4dB P1=0.499945距0.5门槛仅5.5e-5，bootstrap CI跨门槛；0.5是项目决策阈值。","主seed触发档P1为0.546/0.500/0.445/0.286；独立seed为0.540/0.493/0.430/0.267并复现END-CVAR。","channel variance fraction在5/5档定量下降；部分档仍有信道成分。","残余尾部全部来自内容，或0.5是科学普适阈值。"
"C16E","H5","P1按预注册项目规则在主seed和独立seed均判END-CVAR；这是基于归因、预算和预期边际收益的工程停止，未训练任何CVaR模型，也不构成对CVaR科学命题的反驳。","ENGINEERING_STOP","A","PROJECT_DECISION","reports/cvar_p1_rayleigh_matched_result_2026-07-31.md","能力gate、归因gate、bootstrap与独立seed均有记录；P1明确为pure-MSE matched-mean。","当前CVaR候选方向和既定预算。","没有直接CVaR-vs-matched-mean训练比较；未来不同信道/模型可能出现新headroom。","4dB边缘但7/13dB明确低于归因阈值；两seed项目判定相同。","END-CVAR表示当前项目因证据链和边际收益停止，不表示CVaR方法被科学反驳。","CVaR无效、CVaR已被反驳、或仓库已训练CVaR模型。"
"C17","H5","仓库已经训练并验证CVaR风险模型。","REFUTED","A","MEASUREMENT","reports/cvar_p1_rayleigh_matched_result_2026-07-31.md","P1是纯MSE matched-mean baseline；报告明确未训练CVaR-10/20/worst-one。","现有CVaR候选方向。","没有直接CVaR-vs-mean模型比较。","验收项明确未训练任何CVaR模型。","该已完成训练的事实命题被仓库记录直接反驳；只完成了CVaR必要性诊断。","已完成CVaR训练或验证CVaR收益。"
"C18","GLOBAL","仓库已有independent final总体排名或official Imagenette validation结论。","NOT_ESTABLISHED","A","GENERALIZATION","MILESTONES.md; reports/group_meeting_progress_2026-07-31.md","封存层未访问，避免开发结果驱动选择。","当前全部投稿级final或跨方法总排名措辞。","policy-dev被重复用于定位、少步、语义和RDD；Swin convergence extension未执行。","A1是高分辨率外部benchmark但不是封存的supervised reliability层。","当前项目没有建立independent final总体排名；现有结论必须携带各自scope。","已完成最终独立验证或全局SOTA排名。"
"C19","GLOBAL","S35R P1轻量receiver refiner已实现、训练或获得效果。","NOT_ESTABLISHED","E","LOCAL_CONCLUSION","configs/s35r_p1_light_receiver_refiner_probe.yaml; MILESTONES.md; README.md","只有预注册合同，无smoke、checkpoint或结果。","计划中的S35R P1。","smoke和训练需分别授权。","当前磁盘证据只支持planned/pre-registered。","P1是可证伪的待测probe，当前项目尚未建立任何效果。","P1已经改善LPIPS、缩小Swin差距或通过semantic gate。"
"C20","GLOBAL","S34C长版公平生成式重训已执行或失败。","NOT_ESTABLISHED","A","PROJECT_DECISION","configs/s34c_fair_generative_reproduction_preregistration.yaml; reports/group_meeting_progress_2026-07-31.md","用户在任何执行前暂停；无正式输出。","计划中的DiffJSCC/SGD-like公平重训。","工期、作者trainer缺失和算力不等是暂停原因，不是实验结果。","只有C-Lite只读透明度分析已完成。","长版在执行前被工程暂停，因而其科学结果尚未建立。","长版已验证、已失败或已证明公平重训无效。"
"G01","GLOBAL","原始完整联合优势主张：强JSCC backbone、受控diffusion、感知收益与semantic reliability已在统一、公平、独立协议上共同优于强判别式和生成式基线。","NOT_ESTABLISHED","A","GENERALIZATION","audit/CLAIM_REGISTRY.csv; reports/s19_exact_fallback_fresh_replication_stage_result_2026-07-21.md; paper_idea1b/A1_DISCRIMINATIVE_RESULT.md","现有证据分属旧backbone局部fusion、S33判别式和不同外部比较合同，没有统一完整系统final test。","当前仓库版本的完整联合优势。","旧backbone局部正效应不能迁移到S33；S33外部质量弱于Swin；official validation封存。","局部机制证据成立，但这些证据不能组成统一完整系统的联合优势。","当前项目没有建立原始完整联合优势；这不反驳所有可能的联合方法。","完整联合方案已成功，或所有可能的联合方案都被反驳。"
"G02","GLOBAL","生成式JSCC普遍存在不可避免的结构性计算—可靠性冲突。","NOT_ESTABLISHED","B","GENERALIZATION","reports/s34d_generative_inference_cost_result_2026-07-23.md; reports/s35r_p0_sgd_adaptive_cost_result_2026-07-23.md","对现有DiffJSCC/SGD实现统一测量了延迟、FLOPs下界和代理failure。","当前两个代表性released生成式系统及所测硬件/步数。","模型规模、caption/edge组件、sampler和实现均方法特有；未覆盖所有生成式JSCC。","DiffJSCC-25有高计算且failure高于S33；50-step failure差CI跨0；没有普遍性证明。","当前实现显示显著计算代价，DiffJSCC-25还显示可靠性代价；普遍结构性冲突尚未建立。","所有生成式JSCC必然存在计算—可靠性冲突。"
"G03","GLOBAL","gate/controller/fusion路线已无任何headroom。","REFUTED","B","GENERALIZATION","reports/s19_exact_fallback_fresh_replication_stage_result_2026-07-21.md; reports/group_meeting_progress_2026-07-31.md","S27 fusion与等参数control比较；S23 controller另有oracle headroom审计。","已测旧backbone路线与各自合同。","不同gate/controller/fusion设计不可由单一路线外推；S27效应小且非强backbone。","S27相对等参数control仍有+0.065799dB，直接反驳全称无headroom；S23仅因oracle +0.001365dB<+0.02dB作工程停止。","全称无headroom命题被局部反例反驳；只可对S23特定controller写工程停止。","所有gate/controller/fusion都无headroom，或S23停止证明融合机制无效。"
"G04","GLOBAL","blind diffusion改善感知质量但提高semantic failure。","REFUTED","B","CAUSAL","outputs/analysis/m1_negative_result_summary/REPORT.md; reports/showcase_results_2026-07-09.md; EXPERIMENTS.md","EXP-S2-002在1/7/19dB各16图，对同一M0重建施加固定强度blind SD img2img；后续CLIP/分类器作辅助诊断。","当前blind diffusion实现、48图小样本和旧DeepJSCC输出。","样本小且语义为代理；不能外推conditioned/anchored diffusion或所有blind设置。","平均PSNR -14.7485dB、LPIPS +0.3877（更差），CLIP与分类器代理亦恶化；原命题的感知改善前提不成立。","在EXP-S2-002范围内，blind diffusion的感知改善命题被反驳，且观察到语义代理恶化。","blind diffusion已实现感知—语义tradeoff，或后续conditioned diffusion等同blind diffusion。"
"G05","GLOBAL","项目整体已被一个统一实验反驳。","REFUTED","A","GENERALIZATION","audit/CLAIM_REGISTRY.csv; MILESTONES.md; reports/group_meeting_progress_2026-07-31.md","逐claim审计区分不同数据、码率、backbone、信道和决策层；不存在覆盖H1-H5的单一统一实验。","关于当前仓库证据结构的元命题。","若干具体科学命题确已被反驳，另有路线被工程停止；这不等于项目整体成功。","C01/C02/C09/C13等局部结论仍成立；C07/C14/G04等被反驳；G01/G02等未建立；C16E为工程停止。","不存在统一实验反驳整个项目；必须按H1-H5和claim状态分别结论。","项目整体成功，或项目整体失败且所有局部发现无效。"
"H1-SUMMARY","H1","旧backbone上matched diffusion的局部互补信息与13/19dB exact fallback成立；但相对B1仍有new semantic errors，且强backbone上的完整联合方法当前未建立。","QUALIFIED","B","LOCAL_CONCLUSION","C01; C02; C03; G01","各子结论保留原合同，不把旧backbone迁移到S33。","H1分项结论。","局部增益小、语义代理非零、未做strong-B0 matched diffusion final。","C03仍记录60个new errors，G01明确完整联合优势未建立。","H1：局部机制受支持；semantic-safe强命题未成立；强backbone联合优势未建立。","H1整体成功或整体失败。"
"H2-SUMMARY","H2","S33在policy-dev strict-rate聚合优于author-JSCC，但S33强于Swin的科学命题已被外部合同反驳；其定位是低成本、较低质量的判别式端点。","QUALIFIED","A","LOCAL_CONCLUSION","C04; C05; C06; C07; C08","区分policy-dev author比较、equal-budget Swin和Kodak/CLIC外部表。","H2分项结论。","Swin convergence extension未执行；效率仅限测量硬件。","C07的外部反证限制C04/C06的policy-dev正结果，C08只支持单硬件效率测量。","H2：对author的局部优势成立；强于Swin被反驳；效率—质量Pareto成立。","S33全面成功、全局SOTA或毫无价值。"
"H3-SUMMARY","H3","S33与DiffJSCC的exact-rate fidelity—perception Pareto成立；当前DiffJSCC 25-step计算和代理可靠性代价成立，但生成式JSCC普遍存在结构性冲突尚未建立。","QUALIFIED","B","LOCAL_CONCLUSION","C09; C10; C11A; C11B; C11C; G02","等码率主比较与non-ranking SGD分开；测量结论不外推未来实现。","H3分项结论。","训练recipe、先验和算力不匹配；只测两个代表性系统。","C11C限制25-step可靠性，G02限制向所有生成式JSCC作普遍外推。","H3：局部Pareto与当前实现成本成立；普遍性主张未建立。","生成式JSCC普遍被证明不可用或S33全面胜出。"
"H4-SUMMARY","H4","重建输出存在可识别实现/分布指纹；把该指纹因果归于各自生成先验的命题被反证，生成先验定向deception机制当前未建立。","QUALIFIED","A","LOCAL_CONCLUSION","C13; C14","预注册反证对照与跨分辨率补充共同限定因果解释。","H4分项结论。","先验代理不可充分区分，缺正交因果对照。","C14的预注册判别式反证对照否定了生成先验特有归因。","H4：测量层成立；既有生成先验因果解释被反驳；更细机制未建立。","已证明生成先验导致deception，或不存在任何分布偏移。"
"H5-SUMMARY","H5","AWGN当前合同无明显CVaR对象；Rayleigh P0尾部受错配混杂；matched-mean P1使median−p10、CVaR/mean MSE、outage和channel variance fraction在5/5档下降；未训练CVaR模型，END-CVAR仅为工程停止。","QUALIFIED","A","LOCAL_CONCLUSION","C15A; C15B; C15C; C16A; C16B; C16C; C16D; C16E; C17","P0/P1按同arm同五档定量比较；科学测量与项目决策分层。","H5分项结论。","单backbone、单信道合同、无语义指标、无CVaR-vs-mean训练。","P1四组指标均下降但残余不为零；C17直接反驳仓库已训练CVaR模型。","H5：AWGN阴性测量、Rayleigh错配归因限制、P1定量下降和工程停止必须分别陈述。","CVaR科学上无效、尾部已消失、或项目已验证CVaR模型。"
